Name,Vmag,Sp. Type,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],MASK,Investigation IDs,TPF,Halo Lightcurve,Lightcurve Image,Weight Image,Flux Image,Project,Contact,Publication,Comments
Asellus Australis,3.94,K0+IIIb,200200356,131.1712467,18.154306,Halo,GO16003|GO16063|DELTA_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200356-C16,Asellus_Australishalo_lc_o1.fits,Asellus_Australishalo_lc_o1.png,Asellus_Australis_weightmap_o1_sub1.png,Asellus_Australis_fluxmap_o1_sub1.png,,,,
Acubens ,4.249,kA7VmF0/2III/IVSr,200200357,134.6217613,11.85770033,Halo,GO16001|GO16003|GO16021|GO16063|ALPHA_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200357-C16,Acubenshalo_lc_o1.fits,Acubenshalo_lc_o1.png,Acubens_weightmap_o1_sub1.png,Acubens_fluxmap_o1_sub1.png,,,,
ksi Cnc,5.149,G8.5IIIFe-0.5CH-1,200200358,137.3397219,22.04544592,Halo,GO16003|XI_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200358-C16,ksi_Cnchalo_lc_o1.fits,ksi_Cnchalo_lc_o1.png,ksi_Cnc_weightmap_o1_sub1.png,ksi_Cnc_fluxmap_o1_sub1.png,,,,
omi1 Cnc,5.22,A5III,200200360,134.3122908,15.3227667,Halo,GO16003|GO16021|GO16063|OMICRON1_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200360-C16,omi1_Cnchalo_lc_o1.fits,omi1_Cnchalo_lc_o1.png,omi1_Cnc_weightmap_o1_sub1.png,omi1_Cnc_fluxmap_o1_sub1.png,,,,
eta Cnc,5.325,K3III,200200359,128.1770667,20.44116292,Halo,GO16003|GO16063|ETA_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200359-C16,eta_Cnchalo_lc_o1.fits,eta_Cnchalo_lc_o1.png,eta_Cnc_weightmap_o1_sub1.png,eta_Cnc_fluxmap_o1_sub1.png,,,,
45 Cnc,5.65,A3III:+G7III,200200728,130.8013754,12.68087381,Halo,GO16003|GO16081|45_CANCRI-SC-BRIGHT_STAR_DISC,KTWO200200728-C16,45_Cnchalo_lc_o1.fits,45_Cnchalo_lc_o1.png,45_Cnc_weightmap_o1_sub1.png,45_Cnc_fluxmap_o1_sub1.png,,,,
45 Cnc,5.65,A3III:+G7III,200200728,130.8013754,12.68087381,SC Halo,GO16003|GO16081|45_CANCRI-SC-BRIGHT_STAR_DISC,KTWO200200728-C16,45_Cnc_schalo_lc_o1.fits,45_Cnc_schalo_lc_o1.png,45_Cnc_sc_weightmap_o1_sub1.png,45_Cnc_sc_fluxmap_o1_sub1.png,,,,
omi2 Cnc,5.677,F0IV,200200361,134.3966669,15.58128181,Halo,GO16003|GO16021|GO16063|OMICRON2_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200361-C16,omi2_Cnchalo_lc_o1.fits,omi2_Cnchalo_lc_o1.png,omi2_Cnc_weightmap_o1_sub1.png,omi2_Cnc_fluxmap_o1_sub1.png,,,,
50 Cnc,5.885,A1Vp,200200363,131.7334112,12.10995057,Halo,GO16003|GO16021|GO16063|50_CANCRI-LC-BRIGHT_STAR_DISC,KTWO200200363-C16,50_Cnchalo_lc_o1.fits,50_Cnchalo_lc_o1.png,50_Cnc_weightmap_o1_sub1.png,50_Cnc_fluxmap_o1_sub1.png,,,,
79 Cnc,6.011,G5III,251360981,137.586908,21.996418,Regular,GO16003_LC|GO16004_LC,,,,,,,,,
HD 73710,6.39,G9III-IIIb,211962912,130.092028,19.669939,Regular,GO16001_LC|GO16003_LC|GO16031_LC,,,,,,,,,M44
HD 73598,6.60,G8III-IIIb,211954451,129.961314,19.540814,Regular,GO16001_LC|GO16003_LC|GO16031_LC,,,,,,,,,M44
HD 71428,6.86,G5,212052751,127.029797,21.148487,Regular,GO16003_LC,,,,,,,,,
HD 76475,7.04,G5,212091650,134.271444,21.860447,Regular,GO16003_LC|GO16004_LC,,,,,,,,,
78 Cnc,7.176,K3III,211810753,137.259632,17.469652,Regular,GO16003_LC,,,,,,,,,
HD 80495,7.24,G5,251326747,140.157887,19.090631,Regular,GO16003_LC,,,,,,,,,
HD 78347,7.34,K0,211612703,137.034965,14.711396,Regular,GO16003_LC,,,,,,,,,
HD 77776,7.37,G8III,211514553,136.242085,13.343948,Regular,GO16003_LC,,,,,,,,,
52 Cnc,7.37,G5,211706383,132.795024,15.999429,Regular,GO16003_LC|GO16004_LC,,,,,,,,,
HD 78419,7.58,K0,211756677,137.14246,16.701681,Regular,GO16003_LC,,,,,,,,,
HD 73578,7.62,K2,211716813,129.915043,16.141552,Regular,GO16003_LC,,,,,,,,,
HD 75355,7.64,F0,211621378,132.482696,14.833385,Regular,GO16001_LC|GO16003_LC|GO16021_LC|GO16028_LC,,,,,,,,,
HD 80888,7.69,K0,251315548,140.700985,18.13201,Regular,GO16003_LC,,,,,,,,,
HD 75842,7.81,G5,211732180,133.244751,16.356873,Regular,GO16003_LC,,,,,,,,,
HD 76573,7.89,K0II/III,211723555,134.395454,16.233643,Regular,GO16003_LC,,,,,,,,,
HD 77391,7.93,G6IV,212112028,135.711288,22.258552,Regular,GO16003_LC,,,,,,,,,
HD 75994,7.96,G5IV,211865588,133.483664,18.233593,Regular,GO16003_LC,,,,,,,,,
,,,,,,,,All files:,c16_halofits.tgz,c16_lcpng.tgz,c16_weightpng.tgz,c16_fluxpng.tgz,,,,